PLATE,CH_CODE,ENDO_DATE,CLIENT,CAR_MODEL,PLATE_NUMBER_NORMALIZED
A1K482,01PSA2302-4,2023-02-08,PSB AUTO,2018 TOYOTA VIOS 1.3E GAS M/T,A1K482
P0K169,01PSA2302-5,2023-02-08,PSB AUTO,2019 TOYOTA FORTUNER 2.4G 4X2 DSL A/T,P0K169
F0U413,01PSA2302-9,2023-02-08,PSB AUTO,2018 NISSAN JUKE 1.6L CVT N-STYLE 3,F0U413
K1B257,01PSA2302-12,2023-02-08,PSB AUTO,2019 HYUNDAI H100 2.5 CRDi GL 6MT SHUTTL,K1B257
K1C571,01PSA2302-16,2023-02-08,PSB AUTO,2019 HYUNDAI REINA 1.4 GL A/T,K1C571
CS#MR1490,01PSA2302-20,2023-02-08,PSB AUTO,2017 HYUNDAI GRAND STAREX 2.5 GL MT (Dsl,CSMR1490
E0A983,01PSA2302-22,2023-02-08,PSB AUTO,2017 HONDA MOBILIO 1.5 RS NAVI CVT,E0A983
G1C948,01PSA2302-23,2023-02-08,PSB AUTO,2019 SUZUKI VITARA 1.6L GLX A/T,G1C948
MU3709,01PSA2302-27,2023-02-08,PSB AUTO,2018 HYUNDAI ACCENT SEDAN 1.4 GL AT CVT,MU3709
F1J896,01PSA2302-29,2023-02-08,PSB AUTO,2019 NISSAN TERRA 2.5L EL 4X2 A/T,F1J896
P1V116,01PSA2302-32,2023-02-08,PSB AUTO,2019 TOYOTA HILUX 4X2 CONQUEST M/T,P1V116
VX0199,01PSA2302-33,2023-02-08,PSB AUTO,2017 TOYOTA VIOS 1.3E GAS M/T,VX0199
RK5873,01PSA2302-35,2023-02-08,PSB AUTO,2017 MAZDA 3 1.5L SKYACTIV V A/T 4-DOOR,RK5873
K0 N506,01PSA2302-36,2023-02-08,PSB AUTO,2019 HYUNDAI KONA 2.0 GLS 6AT 2WD,K0N506
WE3065,01PSA2302-37,2023-02-08,PSB AUTO,2018 CHEVROLET SAIL 1.5L DOHC DVVT 4-SPE,WE3065
B5C652,01PSA2302-38,2023-02-08,PSB AUTO,2019 MITSUBISHI STRADA GT 2.4D 4WD A/T,B5C652
