PLATE,CH_CODE,ENDO_DATE,CLIENT,CAR_MODEL,PLATE_NUMBER_NORMALIZED
Y4D581,01RBA2407-8,7/22/24,ROB AUTO,2023 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),Y4D581
C1L262,01RBA2407-9,7/22/24,ROB AUTO,2018 FORD Ranger 3.2L Wildtrak 4x4 6MT,C1L262
P0E541,01RBA2407-10,7/22/24,ROB AUTO,2019 TOYOTA Fortuner2.4L 4X2 G DSL AT,P0E541
Y0T045,01RBA2407-11,7/22/24,ROB AUTO,2023 MITSUBISHI Strada GLS 2.4D 2WD AT,Y0T045
F1F691,01RBA2407-12,7/22/24,ROB AUTO,2019 NISSAN Nissan Terra 2.5 4X2 VE AT,F1F691
P9S868,01RBA2407-14,7/22/24,ROB AUTO,2020 TOYOTA Vios 1.3 XLE CVT,P9S868
K1T169,01RBA2407-15,7/22/24,ROB AUTO,2020 HYUNDAI Accent 1.4 GL 6AT w/o SRS,K1T169
B3S562,01RBA2407-16,7/22/24,ROB AUTO,2018 MITSUBISHI MONTERO SPORT GLS 2.4D 2WD A/T,B3S562
E2W504,01RBA2407-18,7/22/24,ROB AUTO,2021 HONDA City 1.5 S CVT,E2W504
K1 V192,01RBA2407-20,7/22/24,ROB AUTO,2020 HYUNDAI H-100 2.5 CRDI GL 6 MT SHUTTLE BODY W/ DUAL AC,K1V192
B2A615,01RBA2407-21,7/22/24,ROB AUTO,2017 MITSUBISHIMirage HB 1.2L GLX MT,B2A615
B8C352,01RBA2408-4,8/22/24,ROB AUTO,2020 MITSUBISHI MIRAGE G4 G4 1.2G GLS CVT (A/T),B8C352
Y1-C 407,01RBA2408-5,8/22/24,ROB AUTO,2022 MITSUBISHI XPANDER GLX 4x2 AT,Y1C407
K0 V318,01RBA2408-6,8/22/24,ROB AUTO,2019 HYUNDAI REINA 1.4 GL 4AT,K0V318
E1R151,01RBA2408-7,8/22/24,ROB AUTO,2019 HONDA City 1.5 E CVT,E1R151
K1 F125,01RBA2408-8,8/22/24,ROB AUTO,2020 HYUNDAI Accent 1.4 MT W/ SRS,K1F125
C4A438,01RBA2408-11,8/22/24,ROB AUTO,2022 FORD RANGER 2.2L XLS 4X2 MT,C4A438
E3A899,01RBA2408-13,8/22/24,ROB AUTO,2021 HONDA City 1.5 RS CVT,E3A899
TOI 471,01RBA2408-14,8/22/24,ROB AUTO,2022 GEELY COOLRAY PREMIUM,TOI471
B2K906,01RBA2408-16,8/22/24,ROB AUTO,2018 MITSUBISHI Montero Sport GLS 2.4D 2WD A/T,B2K906
BOF772,01RBA2408-17,8/22/24,ROB AUTO,2017 MITSUBISHI Mirage G4 G4 1.2L GLX M/T,BOF772
K0 T749,01RBA2408-18,8/22/24,ROB AUTO,2019 HYUNDAI Accent 1.4 GL AT W/O SRS,K0T749
MQ1300,01RBA2408-19,8/22/24,ROB AUTO,2016 HYUNDAI Accent 1.4 GL MT,MQ1300
MP1591,01RBA2408-20,8/22/24,ROB AUTO,2016 HYUNDAI TUCSON 2.0 S 2WD (DSL) A/T,MP1591
MO2418,01RBA2408-21,8/22/24,ROB AUTO,HYUNDAI GRAND STAREX 2.5 GOLD 10 STR AT 2015,MO2418
N06099,01RBA2408-22,8/22/24,ROB AUTO,MITSUBISHI ADV GLS SPORT 2.5 D MT 2016,N06099
B7-S585,01RBA2408-23,8/22/24,ROB AUTO,2020 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B7S585
K1 E151,01RBA2408-24,8/22/24,ROB AUTO,2020 HYUNDAI Accent 1.4 GL MT W/O SRS,K1E151
